,Disease,SVM,SSL,DNN
0,Anisakis,1,0,0
1,Ascaris,0,0,0
2,Babesiosis,0,0,0
3,Buruliulcer,0,0,0
4,Chagas disease,0,0,0
5,Chlamydia Infection,0,0,0
6,Cholera Infection,0,1,1
7,Congo-Crimean HF,0,0,0
8,Coxsackie Infection,0,0,0
9,CreutzfeldtJakobDisease,0,0,0
10,Dracunculus,0,0,0
11,Echinococcus,1,0,0
12,Enterobiasis,0,0,0
13,Epstein Barr Virus,0,0,0
14,Equine encephalitis,0,0,0
15,Fasciola,1,0,0
16,Filariasis,0,0,0
17,Filovirus,0,0,1
18,Giardiasis,0,0,0
19,Gonococcal,1,0,1
20,HendraVirus,0,0,0
21,Hookworm,0,0,0
22,Hymenolepsis,0,0,0
23,Kaposis Sarcoma,0,0,0
24,Lassa Fever,1,0,0
25,Legionellosis,0,0,0
26,Leishmaniasis,0,0,0
27,Leptospirosis,1,0,0
28,Listeriosis,0,0,0
29,Lujo,0,0,0
30,Lyme disease,0,0,0
31,Lymphogranuloma,0,0,0
32,Marburg Hemorrhagic Fever,0,0,0
33,Meningitis,0,1,0
34,NDM-1,0,0,0
35,NipahVirus,1,0,0
36,Onchocerciasis,1,0,0
37,Pertussis,0,0,0
38,Poliomyelitis,1,1,1
39,Q Fever,1,0,1
40,Rickettsiosis,0,0,1
41,Roseolo virus,0,0,0
42,Rubella,0,1,0
43,Saxitoxin Poisoning,0,0,0
44,Scabies,0,0,0
45,Schistosomiasis,0,0,0
46,SchmallenbergVirus,0,0,0
47,Sleeping Sickness,0,0,0
48,Smallpox,0,0,0
49,Strongyloidiasis,0,0,0
50,Tetanus,0,0,0
51,Trachoma,0,0,0
52,Trichinella,0,0,0
53,Trichomoniasis,0,0,0
54,Trichuris,0,0,0
55,Tularemia,0,0,0
56,Visceral Leishmaniasis,0,0,0
57,West Nile Disease,1,0,0
58,Yaws,0,0,0
59,Yellow Fever,1,1,1
